"total_CVCases","total_Deaths","total_Recovered","countries_name","countries_totalcases","countries_totaldeaths","countries_recoveries","countries_population","countries_population_url"
"7,340,862","","","","","","","",""
"","414,107","","","","","","",""
"","","3,619,383","","","","","",""
"","","","USA","2,045,715","114,151","788,881","330,891,117","https://www.worldometers.info/world-population/us-population/"
"","","","Brazil","742,084","38,497","325,602","212,471,616","https://www.worldometers.info/world-population/brazil-population/"
"","","","Russia","493,657","6,358","252,783","145,931,041","https://www.worldometers.info/world-population/russia-population/"
"","","","UK","289,140","40,883","N/A","67,865,632","https://www.worldometers.info/world-population/uk-population/"
"","","","Spain","289,046","27,136","N/A","46,753,788","https://www.worldometers.info/world-population/spain-population/"
"","","","India","276,583","7,745","135,206","1,379,196,659","https://www.worldometers.info/world-population/india-population/"
"","","","Italy","235,561","34,043","168,646","60,466,601","https://www.worldometers.info/world-population/italy-population/"
"","","","Peru","203,736","5,738","92,929","32,943,514","https://www.worldometers.info/world-population/peru-population/"
"","","","Germany","186,516","8,831","170,700","83,768,916","https://www.worldometers.info/world-population/germany-population/"
"","","","Iran","175,927","8,425","138,457","83,927,262","https://www.worldometers.info/world-population/iran-population/"
"","","","Turkey","172,114","4,729","144,598","84,284,595","https://www.worldometers.info/world-population/turkey-population/"
"","","","France","154,591","29,296","71,506","65,265,483","https://www.worldometers.info/world-population/france-population/"
"","","","Chile","142,759","2,283","95,631","19,106,539","https://www.worldometers.info/world-population/chile-population/"
"","","","Mexico","124,301","14,649","90,748","128,851,627","https://www.worldometers.info/world-population/mexico-population/"
"","","","Pakistan","113,702","2,255","36,308","220,615,030","https://www.worldometers.info/world-population/pakistan-population/"
"","","","Saudi Arabia","108,571","783","76,339","34,779,942","https://www.worldometers.info/world-population/saudi-arabia-population/"
"","","","Canada","96,653","7,897","55,572","37,722,638","https://www.worldometers.info/world-population/canada-population/"
"","","","China","83,046","4,634","78,357","",""
"","","","Bangladesh","74,865","1,012","15,900","164,591,590","https://www.worldometers.info/world-population/bangladesh-population/"
"","","","Qatar","71,879","62","47,569","",""
"","","","Belgium","59,569","9,629","16,392","11,586,764","https://www.worldometers.info/world-population/belgium-population/"
"","","","South Africa","52,991","1,162","29,006","59,263,077","https://www.worldometers.info/world-population/south-africa-population/"
"","","","Belarus","50,265","282","24,506","9,449,492","https://www.worldometers.info/world-population/belarus-population/"
"","","","Netherlands","47,903","6,031","N/A","17,132,765","https://www.worldometers.info/world-population/netherlands-population/"
"","","","Sweden","45,924","4,717","N/A","10,095,634","https://www.worldometers.info/world-population/sweden-population/"
"","","","Ecuador","43,917","3,690","21,020","17,626,344","https://www.worldometers.info/world-population/ecuador-population/"
"","","","Colombia","42,078","1,372","16,534","50,850,368","https://www.worldometers.info/world-population/colombia-population/"
"","","","UAE","39,904","283","22,740","9,883,146","https://www.worldometers.info/world-population/united-arab-emirates-population/"
"","","","Singapore","38,965","25","25,877","5,847,650","https://www.worldometers.info/world-population/singapore-population/"
"","","","Egypt","36,829","1,306","9,786","102,210,197","https://www.worldometers.info/world-population/egypt-population/"
"","","","Portugal","35,306","1,492","21,339","10,198,284","https://www.worldometers.info/world-population/portugal-population/"
"","","","Indonesia","34,316","1,959","12,129","273,350,295","https://www.worldometers.info/world-population/indonesia-population/"
"","","","Kuwait","33,140","273","22,162","4,266,645","https://www.worldometers.info/world-population/kuwait-population/"
"","","","Switzerland","30,988","1,934","28,700","8,650,937","https://www.worldometers.info/world-population/switzerland-population/"
"","","","Ukraine","28,381","833","12,769","43,747,275","https://www.worldometers.info/world-population/ukraine-population/"
"","","","Poland","27,668","1,191","13,411","37,848,845","https://www.worldometers.info/world-population/poland-population/"
"","","","Ireland","25,215","1,691","22,698","4,934,463","https://www.worldometers.info/world-population/ireland-population/"
"","","","Argentina","24,761","717","7,568","45,171,227","https://www.worldometers.info/world-population/argentina-population/"
"","","","Philippines","22,992","1,017","4,736","109,491,568","https://www.worldometers.info/world-population/philippines-population/"
"","","","Afghanistan","22,142","405","3,013","38,870,176","https://www.worldometers.info/world-population/afghanistan-population/"
"","","","Romania","20,749","1,355","14,910","19,244,249","https://www.worldometers.info/world-population/romania-population/"
"","","","Dominican Republic","20,415","544","12,208","10,841,423","https://www.worldometers.info/world-population/dominican-republic-population/"
"","","","Israel","18,268","299","15,168","",""
"","","","Oman","18,198","83","4,152","5,097,800","https://www.worldometers.info/world-population/oman-population/"
"","","","Panama","17,233","403","10,561","4,310,510","https://www.worldometers.info/world-population/panama-population/"
"","","","Japan","17,210","916","15,213","126,496,945","https://www.worldometers.info/world-population/japan-population/"
"","","","Austria","16,979","672","15,875","9,003,449","https://www.worldometers.info/world-population/austria-population/"
"","","","Bahrain","16,200","29","11,109","1,697,242","https://www.worldometers.info/world-population/bahrain-population/"
"","","","Bolivia","14,644","487","2,190","11,663,221","https://www.worldometers.info/world-population/bolivia-population/"
"","","","Iraq","14,268","392","5,831","40,162,645","https://www.worldometers.info/world-population/iraq-population/"
"","","","Armenia","14,103","227","5,226","2,962,936","https://www.worldometers.info/world-population/armenia-population/"
"","","","Nigeria","13,464","365","4,206","205,794,199","https://www.worldometers.info/world-population/nigeria-population/"
"","","","Kazakhstan","13,319","61","8,015","18,763,084","https://www.worldometers.info/world-population/kazakhstan-population/"
"","","","Denmark","12,001","593","10,849","5,791,055","https://www.worldometers.info/world-population/denmark-population/"
"","","","Serbia","11,965","250","11,348","8,739,216","https://www.worldometers.info/world-population/serbia-population/"
"","","","S. Korea","11,902","276","10,611","51,266,763","https://www.worldometers.info/world-population/south-korea-population/"
"","","","Algeria","10,382","724","6,951","43,800,432","https://www.worldometers.info/world-population/algeria-population/"
"","","","Ghana","10,201","48","3,755","31,030,490","https://www.worldometers.info/world-population/ghana-population/"
"","","","Moldova","10,025","367","5,930","4,034,462","https://www.worldometers.info/world-population/moldova-population/"
"","","","Czechia","9,763","330","7,057","10,707,880","https://www.worldometers.info/world-population/czech-republic-population/"
"","","","Cameroon","8,681","212","4,836","26,501,153","https://www.worldometers.info/world-population/cameroon-population/"
"","","","Norway","8,576","239","8,138","5,418,762","https://www.worldometers.info/world-population/norway-population/"
"","","","Morocco","8,455","210","7,496","36,884,048","https://www.worldometers.info/world-population/morocco-population/"
"","","","Malaysia","8,338","118","7,014","32,340,659","https://www.worldometers.info/world-population/malaysia-population/"
"","","","Azerbaijan","8,191","98","4,606","10,133,776","https://www.worldometers.info/world-population/azerbaijan-population/"
"","","","Guatemala","7,866","289","1,413","17,894,306","https://www.worldometers.info/world-population/guatemala-population/"
"","","","Australia","7,274","102","6,740","25,481,994","https://www.worldometers.info/world-population/australia-population/"
"","","","Finland","7,025","324","5,800","5,540,244","https://www.worldometers.info/world-population/finland-population/"
"","","","Honduras","6,935","271","787","9,894,721","https://www.worldometers.info/world-population/honduras-population/"
"","","","Sudan","6,427","389","2,127","43,780,863","https://www.worldometers.info/world-population/sudan-population/"
"","","","Tajikistan","4,690","48","2,815","9,523,438","https://www.worldometers.info/world-population/tajikistan-population/"
"","","","Uzbekistan","4,547","18","3,459","33,439,129","https://www.worldometers.info/world-population/uzbekistan-population/"
"","","","Senegal","4,516","52","2,809","16,713,714","https://www.worldometers.info/world-population/senegal-population/"
"","","","DRC","4,390","96","565","89,368,750","https://www.worldometers.info/world-population/democratic-republic-of-the-congo-population/"
"","","","Djibouti","4,331","34","2,139","987,109","https://www.worldometers.info/world-population/djibouti-population/"
"","","","Guinea","4,258","23","2,942","13,108,249","https://www.worldometers.info/world-population/guinea-population/"
"","","","Nepal","4,086","15","584","29,103,332","https://www.worldometers.info/world-population/nepal-population/"
"","","","Luxembourg","4,046","110","3,902","625,337","https://www.worldometers.info/world-population/luxembourg-population/"
"","","","Hungary","4,027","551","2,355","9,661,655","https://www.worldometers.info/world-population/hungary-population/"
